"","Nu"
"HIST347J",47.4423483560091
"HUMS151",65.0306859410431
"DRST006",39.7380371315193
"PHIL126",40.4629450113379
"PHIL175",43.023914399093
"PHIL311",40.7471882086168
"PHIL481",33.089871031746
"HIST220J",80.8919444444444
"EAST326",55.9041680839002
"CZEC140",78.9942970521542
"GMAN145",80.7397746598639
"FREN335",56.1958517573696
"GMAN308",45.1675311791383
"THST387",74.1009991496599
"WLOF140",81.0537244897959
"HSAR447",69.5355215419501
"ART132",84.7063888888889
"ECON159",51.3447675736961
"ENGL263",49.7052891156463
"HUMS444",46.7945351473923
"GLBL290",63.1597052154195
"ENGL395",52.0541156462585
"ENGL125",80.0178911564626
"ENGL224",57.1918083900227
"ENGL206",39.7455739795918
"ENGL200",45.8098129251701
"AFST221",67.2752607709751
"HIST321J",66.0702607709751
"KREN154",71.1888718820862
"SPAN130",73.9103911564626
"PERS140",67.7159467120181
"GMAN110",87.4198526077098
"HIST237",47.0223299319728
"ARBC167",71.7809637188209
"GMAN217",44.3526261337868
"PORT140",74.25
"ENGL314",51.1283616780045
"G&G489",64.7666156462585
"JAPN165",73.7819798752835
"ANTH471",66.0230399659864
"E&EB469",65.7495408163265
"MB&B471",68.0320762471655
"MB&B473",68.0750793650794
"MB&B479",73.2889413265306
"PHIL480",67.8259821428571
"CHEM226L",75.6683333333333
"PSYC161",43.3774433106576
"PHIL448",58.7105839002268
"AMTH160",75.0897222222222
"BIOL104",71.6724319727891
"PSYC477",65.9515022675737
"CHEM221",50.6737528344671
"E&EB273L",55.8715022675737
"HSAR418",47.6602905328798
"FREN160",79.1583333333333
"ENGL134",77.6126133786848
"ITAL140",82.9782653061225
"EP&E215",47.18570861678
"ECON326",67.7806859410431
"ANTH453",73.4215192743764
"GLBL274",51.2129365079365
"EVST255",37.3125666099773
"ANTH242",72.0976303854875
"LAST243",83.0767970521542
"HUMS353",48.7485785147392
"LING280",46.3407043650794
"ENGL265",58.9200453514739
"LAST344",44.4554761904762
"FREN150",66.3928741496599
"ANTH464",46.9086748866213
"ENGL470",74.3717800453515
"LATN125",78.8098185941043
"HIST178J",49.3197845804989
"HIST215J",49.9416950113379
"LAST223",76.7813888888889
"HSHM415",61.0439512471655
"EGYP145",49.4332043650794
"EVST352",59.4884126984127
"FILM346",60.5814682539683
"AFAM303",39.4821797052154
"CLCV134",60.0347675736961
"HUMS073",46.4945195578231
"GLBL193",70.6940022675737
"MB&B445",71.2155385487528
"PHIL269",63.4425623582766
"PSYC200",48.3967757936508
"HUMS473",38.6739002267574
"ECON110",63.8137244897959
"ECON111",62.2656689342404
"FREN013",48.7058276643991
"USAF202",45.7115476190476
"AFST272",33.754787414966
"ANTH320",41.5178472222222
"EVST189",46.3671556122449
"MMES193",50.9072505668934
"EAST454",49.5060090702948
"AFST340",41.7019571995465
"ANTH370",54.2111848072562
"ANTH401",36.0251913265306
"CPSC468",51.8476247165533
"EENG111",55.8402891156463
"EVST290",73.0112414965986
"EAST301",35.8545225497606
"ECON484",39.6521612811791
"ECON327",57.7771371882086
